status,reason,overlap_pct,municipality,district,county,fgb_area
missing,no_key_match,,Brunswick,Low Density Rural Residential,Essex,0.0033972771298976592
missing,no_key_match,,Brunswick,Shoreland,Essex,0.00090783377123903
missing,no_key_match,,Maidstone,Rural Lands One,Essex,0.0006850744491000234
missing,no_key_match,,Maidstone,Agricultural Zone,Essex,0.0004778119948036472
missing,no_key_match,,Lemington,Rural Residential,Essex,0.00039945745598071665
missing,no_key_match,,Lemington,Agricultural,Essex,0.0002001856972896415
missing,no_key_match,,Canaan,Community Forest Overlay District,Essex,0.00023481230561287988
missing,no_key_match,,Canaan,Residential One-Half,Essex,0.00016429721405413213
missing,no_key_match,,Canaan,Agricuultural,Essex,0.0006560128862764868
missing,no_key_match,,Canaan,Residential One,Essex,5.126436877085324e-05
missing,no_key_match,,Canaan,Industrial,Essex,0.00011827756398948823
missing,no_key_match,,Canaan,Residential-Commercial,Essex,6.0804272925255376e-05
missing,no_key_match,,Canaan,Residential Two,Essex,0.0016941871604949732
missing,no_key_match,,Canaan,Rural Lands,Essex,0.006968507305130173
missing,no_key_match,,Lemington,Resource,Essex,0.00931545820398294
missing,no_key_match,,Lemington,Rural Lands,Essex,0.0005342807318024219
missing,no_key_match,,Canaan,Wallace Pond District,Essex,4.582396410072605e-05
missing,no_key_match,,Averill,"Commercial, Industrial, Residential District",Essex,0.00033011802957158646
missing,no_key_match,,Averill,Shore Land District,Essex,0.0006348282588127833
missing,no_key_match,,Averill,"Forest, Agriculture, And Single Family Home District",Essex,0.010714610994180961
missing,no_key_match,,Brunswick,Forest Conservation,Essex,0.003316678183484021
missing,no_key_match,,Ferdinand,"Commercial, Industrial, Residential District",Essex,0.00026765659972536975
missing,no_key_match,,Lewis,"Forest, Agriculture, And Single Family Home District",Essex,0.011452306194921479
missing,no_key_match,,Norton,Rural Residential District,Essex,0.0007406549998115542
missing,no_key_match,,Norton,Flood Hazard Overlay District,Essex,0.0009097248257980548
missing,no_key_match,,Norton,Lakeshore And Streambank Overlay District,Essex,0.00048124250364537687
missing,no_key_match,,Norton,Agriculture & Forest District,Essex,0.010628827824397086
missing,no_key_match,,Lewis,Shore Land District,Essex,2.2441514051892007e-05
missing,no_key_match,,Averys Gore,"Forest, Agriculture, and Single Family Home District",Essex,0.005363419505072941
missing,no_key_match,,Warren Gore,"Forest, Agriculture, And Single Family Home District",Essex,0.0024768628709428914
missing,no_key_match,,Warren Gore,"Commercial, Industrial, Residential District",Essex,0.00020632922828986482
missing,no_key_match,,Warren Gore,Shore Land District,Essex,0.00011696609585409889
missing,no_key_match,,Averys Gore,Shore Land District,Essex,1.3655183117221211e-05
missing,no_key_match,,Averys Gore,"Commercial, Industrial, Residential District",Essex,3.7971058619155228e-06
missing,no_key_match,,Warners Grant,"Forest, Agriculture, And Single Family Home District",Essex,0.0009449479920493735
missing,no_key_match,,Brighton,Industrial,Essex,4.566537870819646e-05
missing,no_key_match,,Brighton,Lake,Essex,0.00017375846679432583
missing,no_key_match,,Brighton,Conservation Lands,Essex,0.0007536381378124611
missing,no_key_match,,Brighton,Rural Lands,Essex,0.013946501372073537
missing,no_key_match,,Brighton,Rural Residential,Essex,0.0014314731854688568
missing,no_key_match,,Brighton,Neighborhood Residential,Essex,0.00018765516544000556
missing,no_key_match,,Brighton,Village,Essex,3.478606454809016e-05
missing,no_key_match,,Burke,Village Residential,Caledonia,1.3483221964003912e-05
missing,no_key_match,,Burke,Agricultural-Residential Ii,Caledonia,0.007398088124305493
missing,no_key_match,,Burke,Resort,Caledonia,0.0014945007364437252
missing,no_key_match,,Burke,Scenic And Conservation Overlay,Caledonia,0.0023037513269492695
missing,no_key_match,,Ferdinand,"Forest, Agriculture, And Single Family Home District",Essex,0.015449789678966779
missing,no_key_match,,Ferdinand,Shore Land District,Essex,0.00017247481294719566
missing,no_key_match,,Granby,Forest,Essex,0.010769343292225673
missing,no_key_match,,Granby,Village,Essex,6.296043063499384e-05
missing,no_key_match,,Granby,Rural Residential,Essex,0.0005629786012618591
missing,no_key_match,,Concord,High Density,Essex,0.0006529814563115668
missing,no_key_match,,Kirby,Highlands,Caledonia,0.001515944037323087
missing,no_key_match,,Kirby,Residential,Caledonia,0.005756002782819456
missing,no_key_match,,Kirby,Special Flood Hazard Area,Caledonia,2.321633926126016e-05
missing,no_key_match,,Kirby,Commercial/Light Industrial,Caledonia,0.00010436192462179012
missing,no_key_match,,Saint Johnsbury,Industrial,Caledonia,0.0004207025496059341
missing,no_key_match,,Saint Johnsbury,Rural Land 2,Caledonia,0.004428212919547645
missing,no_key_match,,Saint Johnsbury,Health Services,Caledonia,6.493744305640505e-05
missing,no_key_match,,Saint Johnsbury,Rural Land 1,Caledonia,0.004946455849067389
missing,no_key_match,,Lyndon,Park,Caledonia,1.1869038820540787e-05
missing,no_key_match,,Lyndon,Institutional Control,Caledonia,0.00015448484490105638
missing,no_key_match,,Lyndon,Village Commercial,Caledonia,1.9696334344490813e-05
missing,no_key_match,,Lyndon,Main Street,Caledonia,1.930950130209762e-05
missing,no_key_match,,Lyndon,Rural Residential,Caledonia,0.00945459194474314
missing,no_key_match,,Lyndon,Residential Neighborhood,Caledonia,0.0010491007790047143
missing,no_key_match,,Lyndon,Commercial,Caledonia,0.0008297108364801952
missing,no_key_match,,Lyndon,Industrial,Caledonia,0.00011933366664600056
missing,no_key_match,,Lyndon,Lyndon Corner Industrial,Caledonia,1.5657579261189742e-06
missing,no_key_match,,Stannard,Forest District,Caledonia,0.0018628584236239872
missing,no_key_match,,Sutton,Industrial District,Caledonia,0.0006515519848784607
missing,no_key_match,,Sutton,Working Lands District,Caledonia,0.008952140448439743
missing,no_key_match,,Sutton,Village District,Caledonia,0.00011789321096280538
missing,no_key_match,,Sutton,Residential District,Caledonia,0.0013061375247344297
missing,no_key_match,,Burke,Village Mixed Use,Caledonia,0.000246730281261299
missing,no_key_match,,Burke,Agricultural-Residential I,Caledonia,0.000825526903974178
missing,no_key_match,,Sutton,Scenic District,Caledonia,0.00028339719419573866
missing,no_key_match,,,Westmore,Orleans,0.011060553473115173
missing,no_key_match,,Morgan,Rural Lands Three,Orleans,0.003989298306252109
missing,no_key_match,,Morgan,Rural Lands Two,Orleans,0.0034594839995508047
missing,no_key_match,,Morgan,Industrial/Residential,Orleans,0.0007676683351747321
missing,no_key_match,,Morgan,Residential-Commercial,Orleans,0.0002825643474346555
missing,no_key_match,,Morgan,Rural Lands One,Orleans,0.000590766318336876
missing,no_key_match,,Morgan,Lakeshore,Orleans,0.00016244669453097734
missing,no_key_match,,Derby,Rural Residential,Orleans,0.007314410356371546
missing,no_key_match,,Derby,Shoreland District,Orleans,0.0008406111275374247
missing,no_key_match,,Derby,Residential One Acre,Orleans,0.001253984711988859
missing,no_key_match,,Derby,Village Residential-Two Derby Line,Orleans,1.740439460946297e-05
missing,no_key_match,,Derby,Village Commercial Derby Line,Orleans,4.130125780351611e-06
missing,no_key_match,,Derby,Village Residential-One Derby Line,Orleans,0.00010252255878115148
missing,no_key_match,,Derby,Commercial,Orleans,0.0004883513608586956
missing,no_key_match,,Derby,Residential Medium Density,Orleans,6.63217697536776e-05
missing,no_key_match,,Derby,Residential Two Acre,Orleans,0.002013681712707178
missing,no_key_match,,Derby,Village Commercial Derby Center,Orleans,2.649556531877234e-05
missing,no_key_match,,Derby,Village Residential/Derby Center,Orleans,7.159410082755843e-05
missing,no_key_match,,Derby,Village Residential-Multi-Family Derby Center,Orleans,3.450677172870861e-05
missing,no_key_match,,Derby,Commercial/Industrial,Orleans,0.00014636274013656708
missing,no_key_match,,Derby,Industrial,Orleans,5.2367483405089194e-05
matched,overlap_100.0pct,100.0,Newport City,Public Health/Office,Orleans,2.2442799889480162e-05
missing,no_key_match,,Newport City,Conservation,Orleans,0.00014307863354676064
matched,overlap_100.0pct,100.0,Newport City,Urban Residential,Orleans,0.00029170178103557487
matched,overlap_100.0pct,100.0,Newport City,Commercial Zone B,Orleans,6.811777180193379e-05
missing,no_key_match,,Derby,Residential High Density,Orleans,6.611376559711658e-05
missing,no_key_match,,Derby,Special Lands,Orleans,0.0011802230190476673
missing,no_key_match,,Barton,Resource District,Orleans,0.003664304018572429
missing,no_key_match,,Barton,Low Density,Orleans,0.008032654883775756
missing,no_key_match,,Barton,Medium Density,Orleans,0.0011900898481966731
missing,no_key_match,,Barton,High Density,Orleans,0.0002706252299038161
missing,no_key_match,,Barton,Mixed Use,Orleans,0.00047998551611530484
missing,no_key_match,,Barton,Industrial,Orleans,4.030833503329147e-05
matched,overlap_100.0pct,100.0,Newport City,Urban Recreational,Orleans,4.65159372039391e-05
matched,overlap_100.0pct,100.0,Newport City,Industrial,Orleans,0.00011151508938212566
matched,overlap_100.0pct,100.0,Newport City,Form Based Code Overlay,Orleans,9.744364886066907e-05
matched,overlap_100.0pct,100.0,Newport City,General Residential,Orleans,0.000992772490199674
matched,overlap_100.0pct,100.0,Newport City,Light Industrial,Orleans,2.325663163129569e-05
missing,no_key_match,,,Newport Town,Orleans,0.012318088692522294
missing,no_key_match,,Troy,Rural District,Orleans,0.009667398328957548
missing,no_key_match,,Troy,River Corridor Overlay District,Orleans,0.0006058343596469218
missing,no_key_match,,Troy,Village District,Orleans,0.0010605331668190347
missing,no_key_match,,Troy,Commercial-Residential District,Orleans,0.0001354297056359285
missing,no_key_match,,Troy,Village Center District,Orleans,8.322264313683677e-05
missing,no_key_match,,Troy,Industrial District,Orleans,7.87748160477265e-06
missing,no_key_match,,Troy,Central Business District,Orleans,8.196024090461684e-06
missing,no_key_match,,Jay,Village Center District,Orleans,4.135364227120198e-05
missing,no_key_match,,Westfield,Villaage,Orleans,6.009452332809991e-05
missing,no_key_match,,Lowell,All Rural Residential-Agricultural,Orleans,0.012002037832709374
missing,no_key_match,,Greensboro,Resource District,Orleans,0.0014208670332002665
missing,no_key_match,,Greensboro,Rural Lands District,Orleans,0.010628930946781598
missing,no_key_match,,Greensboro,Greensboro Village District,Orleans,0.00011883279815709707
missing,no_key_match,,Stannard,Floodplain Overlay District,Caledonia,2.9190591115230555e-05
missing,no_key_match,,Stannard,Rural District,Caledonia,0.0018065928313016077
missing,no_key_match,,Stannard,Village District,Caledonia,3.401832339635769e-05
missing,no_key_match,,Greensboro,Greensboro Bend Village District,Orleans,0.00014447728536307953
missing,no_key_match,,Hardwick,Industrial,Caledonia,7.20536458960628e-05
missing,no_key_match,,Hardwick,Village Neighborhood,Caledonia,0.00030001396759712684
missing,no_key_match,,Hardwick,Compact Residential,Caledonia,0.0010931855468376424
matched,overlap_100.0pct,100.0,Hardwick,Highway Mixed-Use,Caledonia,0.00011536252382517541
missing,no_key_match,,Hardwick,Central Business,Caledonia,1.551208511681513e-05
missing,no_key_match,,Hardwick,Flood Hazard Overlay,Caledonia,0.0007129357993535557
missing,no_key_match,,Hardwick,Rural Residential,Caledonia,0.00830029407526207
missing,no_key_match,,Greensboro,Shoreland Protection District,Orleans,0.001012037214913135
missing,no_key_match,,Hardwick,Forest Reserve,Caledonia,0.001798759633484883
matched,overlap_100.0pct,100.0,Wolcott,Shoreland District,Lamoille,0.0001637405419980855
matched,overlap_100.0pct,100.0,Wolcott,Fisher Bridge Enterprise District,Lamoille,1.1353666884386632e-05
missing,no_key_match,,Woodbury,Village District,Washington,3.6421930334225574e-05
missing,no_key_match,,Woodbury,Agricultural-Rural Residential District,Washington,0.010158619790160035
missing,no_key_match,,Woodbury,Shoreland District,Washington,0.0013064383327242792
missing,no_key_match,,Cabot,Village District,Washington,0.00013518269003041328
missing,no_key_match,,Marshfield,Agricultural And Rural Residential District,Washington,0.0062640639205452
missing,no_key_match,,Marshfield,Forestry And Conservation District,Washington,0.00812754641074608
missing,no_key_match,,Marshfield,Flood Hazard District,Washington,0.0006171513413361013
missing,no_key_match,,Marshfield,Village Residential District,Washington,0.00015116702067914008
missing,no_key_match,,Plainfield,Rural Residential District,Washington,0.0005063214870675418
missing,no_key_match,,Plainfield,Village District,Washington,9.956332815186204e-05
missing,no_key_match,,Plainfield,Forest And Agricultural Lands District,Washington,0.004959620473839432
missing,no_key_match,,Plainfield,Reserve Lands District,Washington,0.0005880946038976639
missing,no_key_match,,Groton,Shoreland District,Caledonia,0.0009445159373898852
missing,no_key_match,,Groton,Rural Residential District,Caledonia,0.009214191962313555
missing,no_key_match,,Groton,Commercial/Industrial,Caledonia,0.00010229265607958491
missing,no_key_match,,Groton,Conservation District,Caledonia,0.006339244966969737
matched,overlap_100.0pct,100.0,Peacham,Shoreland Two,Caledonia,0.0002605079890223752
matched,overlap_100.0pct,100.0,Peacham,Rural District,Caledonia,0.01476121076764405
matched,overlap_100.0pct,100.0,Peacham,Shoreland One,Caledonia,0.00012647054513826136
missing,no_key_match,,Cabot,Shoreland District,Washington,0.00093776124807801
missing,no_key_match,,Cabot,Lower Village District,Washington,0.00018973297055407612
missing,no_key_match,,Cabot,Low Density Residential And Agricultural District,Washington,0.00997631002677368
missing,no_key_match,,Danville,Developed Shoreland Overlay,Caledonia,0.0001307318375463717
missing,no_key_match,,Danville,Medium Density Residential 2,Caledonia,0.00036456879057073036
missing,no_key_match,,Danville,Design Control Overlay,Caledonia,0.00011359210083906212
missing,no_key_match,,Danville,Route 2,Caledonia,2.1060529946980645e-05
missing,no_key_match,,Danville,Village Core,Caledonia,8.29671821652364e-05
matched,overlap_100.0pct,100.0,Peacham,Wellhead Protection Overlay,Caledonia,3.827512602940929e-05
matched,overlap_100.0pct,100.0,Peacham,Agricultural Overlay,Caledonia,0.0012637054066596835
matched,overlap_100.0pct,100.0,Peacham,Village District,Caledonia,0.0002102570539654382
missing,no_key_match,,Barnet,Village,Caledonia,0.0005915785000712543
missing,no_key_match,,Barnet,Agricultural,Caledonia,0.0059610006145612866
missing,no_key_match,,Danville,Village Residential,Caledonia,0.00011839423641741637
missing,no_key_match,,Danville,Historic Neighborhoods,Caledonia,2.297495987420883e-05
missing,no_key_match,,Danville,Low Density Residential,Caledonia,0.012214633168566979
missing,no_key_match,,Danville,Conservation,Caledonia,0.007546544695299145
missing,no_key_match,,Danville,Medium Density Residential 1,Caledonia,0.00023738224995174332
missing,no_key_match,,Saint Johnsbury,Mixed Use,Caledonia,0.0002988856324809039
missing,no_key_match,,Saint Johnsbury,Residential B,Caledonia,0.00048462923851833885
missing,no_key_match,,Saint Johnsbury,Residential A,Caledonia,0.0003078829936360504
missing,no_key_match,,Saint Johnsbury,Commercial,Caledonia,0.00013546715565629423
missing,no_key_match,,Saint Johnsbury,Residential Town,Caledonia,0.0007829979282935082
missing,no_key_match,,Saint Johnsbury,Conservation District,Caledonia,8.12490152521243e-05
matched,overlap_100.0pct,100.0,Waterford,Industrial Commercial District,Caledonia,0.0001130569077362473
missing,no_key_match,,Barnet,Low Density,Caledonia,0.005525412885663289
missing,no_key_match,,Barnet,Rural Residential,Caledonia,0.000937784353420474
missing,no_key_match,,Ryegate,Commercial Two,Caledonia,0.00011342467973659107
missing,no_key_match,,Ryegate,Medium Density Residential,Caledonia,0.00026426238060125377
missing,no_key_match,,Ryegate,Low Density,Caledonia,0.006307155368664619
missing,no_key_match,,Ryegate,Shoreland,Caledonia,0.0002235608871240294
missing,no_key_match,,Ryegate,Commercial One,Caledonia,9.255839945607466e-06
missing,no_key_match,,Ryegate,Industrial,Caledonia,4.3736718254500604e-05
missing,no_key_match,,Ryegate,Rural Land,Caledonia,0.0040469592320153
missing,no_key_match,,Groton,Village District,Caledonia,0.00030522238708872323
missing,no_key_match,,Newbury,Rural 5,Orange,0.0006207487879941512
missing,no_key_match,,Bradford Town,Low Density Residential,Orange,0.0010875888604476348
missing,no_key_match,,Bradford Town,Deer Wintering Area,Orange,0.0025958764016053614
missing,no_key_match,,Newbury,Hamlet,Orange,9.242720520209589e-05
missing,no_key_match,,Newbury,Rural 1,Orange,0.003913279679549687
missing,no_key_match,,Newbury,Flood Hazard Overlay,Orange,0.0013369920438104838
missing,no_key_match,,Newbury,Conservation And Natural Resource,Orange,0.010755908086412429
missing,no_key_match,,Newbury,Rural 2,Orange,0.0021632960795282593
missing,no_key_match,,Newbury,Shoreland,Orange,0.00035840291107700666
missing,no_key_match,,Newbury,Industrial,Orange,5.749476729009284e-05
missing,no_key_match,,Newbury,Wells River Residential,Orange,0.0003346847319649868
missing,no_key_match,,Newbury,Water Supply Protection Area,Orange,0.00027399924081723603
missing,no_key_match,,Newbury,Mixed Use Commercial,Orange,0.00028806753158242785
missing,no_key_match,,Newbury,Wells River Commercial,Orange,9.772048261812808e-05
missing,no_key_match,,Newbury,Newbury Village,Orange,0.00017409059886134168
missing,no_key_match,,Bradford Town,Industrial,Orange,1.648239901692836e-05
missing,no_key_match,,Bradford Town,Lower Plain,Orange,0.00011291101080011017
missing,no_key_match,,Bradford Town,Historic District,Orange,0.0001437272513128771
missing,no_key_match,,Bradford Town,Industrial/Mixed Use,Orange,6.4902524561490234e-06
missing,no_key_match,,Bradford Town,Village Residential,Orange,7.282796223669462e-05
missing,no_key_match,,Bradford Town,Residential Service,Orange,4.8206172759837075e-05
missing,no_key_match,,Bradford Town,Central Business District,Orange,6.0517922896363484e-06
missing,no_key_match,,Bradford Town,Wellhead Protection,Orange,8.413332186630156e-05
missing,no_key_match,,Bradford Town,Flood Hazard,Orange,0.00045264737476823
missing,no_key_match,,Bradford Town,Wetlands,Orange,0.0003086809561640243
missing,no_key_match,,Bradford Town,Residential,Orange,0.007325167579035667
missing,no_key_match,,Fairlee,Rural Resource,Orange,0.003855769673301632
missing,no_key_match,,Fairlee,Lake Morley,Orange,0.00010837809470215428
missing,no_key_match,,Fairlee,Lakeshore Resort,Orange,7.105578895650987e-05
missing,no_key_match,,Fairlee,Mixed Use,Orange,0.00022835352060130557
missing,no_key_match,,Fairlee,Receiving Area Overlay,Orange,0.00069101626339692
missing,no_key_match,,Fairlee,Flood Hazard Area Overlay,Orange,0.0001794604930616888
missing,no_key_match,,Fairlee,Residential,Orange,0.0011540275249962006
missing,no_key_match,,Fairlee,Village,Orange,5.248124383187391e-05
missing,no_key_match,,Fairlee,Interchange,Orange,1.535808942559863e-05
missing,no_key_match,,Fairlee,Water Service Area Overlay,Orange,0.00018373642990710226
missing,no_key_match,,Fairlee,Lake Fairlee,Orange,7.897057173278239e-05
missing,no_key_match,,Thetford,Neighborhood Residential,Orange,0.00010123960190286998
missing,no_key_match,,Strafford,Miller Pond Shoreline,Orange,0.00010745171514524882
missing,no_key_match,,Vershire,Flood Hazard Overlay,Orange,6.480148423701013e-05
missing,no_key_match,,Vershire,Rural Residential,Orange,0.00367231101734855
missing,no_key_match,,Vershire,Open Space,Orange,0.0066531890255787166
missing,no_key_match,,Vershire,Village,Orange,0.00017316302142673037
missing,no_key_match,,Washington,Village District,Orange,0.000351746535481409
missing,no_key_match,,Washington,Rural Residential District,Orange,0.011005911723704352
missing,no_key_match,,Chelsea,Mixed Use Development,Orange,0.00025989639228444675
missing,no_key_match,,Strafford,Rural Residential Ii,Orange,0.004214113209726907
missing,no_key_match,,Strafford,Land And Forest Conservation,Orange,0.002625754458873712
missing,no_key_match,,Randolph,North And South Randolph Villages District,Orange,3.908315961906803e-05
missing,no_key_match,,Randolph,East Randolph Village District,Orange,0.00010218964323566679
missing,no_key_match,,Chelsea,Industrial,Orange,0.00017233342337960562
missing,no_key_match,,Chelsea,Village,Orange,0.00014504778812241082
missing,no_key_match,,Chelsea,Flood Hazard Overlay,Orange,0.00016443000333005194
missing,no_key_match,,Chelsea,Rural Residential,Orange,0.011073178349572933
matched,overlap_100.0pct,100.0,Barre Town,East Barre Commercial,Washington,1.0694238646818943e-05
matched,overlap_100.0pct,100.0,Barre Town,Earth Resource Extraction,Washington,0.00012686125012961098
missing,no_key_match,,Brookfield,Village,Orange,8.583501557939249e-05
missing,no_key_match,,Brookfield,Agricultural/Residential,Orange,0.012315196890597254
missing,no_key_match,,Brookfield,Public Lands,Orange,0.0004414112553861507
missing,no_key_match,,Brookfield,Flood Hazard,Orange,0.0003379360552255733
missing,no_key_match,,Brookfield,Scenic Protection,Orange,7.207790520788212e-05
missing,no_key_match,,Brookfield,Shoreland,Orange,0.0003537426345249086
matched,overlap_100.0pct,100.0,Northfield,Mixed Use District,Washington,1.648728529319401e-05
matched,overlap_100.0pct,100.0,Northfield,Industrial District,Washington,5.7323592659269764e-05
matched,overlap_100.0pct,100.0,Northfield,High Density Residential District,Washington,0.00010732875691354692
matched,overlap_100.0pct,100.0,Northfield,Institutional District,Washington,7.660760225557947e-05
matched,overlap_100.0pct,100.0,Northfield,Medium Density Residential District,Washington,0.00040264422697818903
matched,overlap_100.0pct,100.0,Northfield,Low Density Residential District,Washington,0.012346017270474385
missing,no_key_match,,Randolph,Interchange Northeast District,Orange,3.903230867167288e-05
missing,no_key_match,,Randolph,Interchange Southwest District,Orange,4.6188042915512566e-05
missing,no_key_match,,Randolph,Interchange Northwest District,Orange,4.9648157428726234e-05
missing,no_key_match,,Randolph,Water Conservation Overlay District,Orange,0.00016527791001396584
missing,no_key_match,,Randolph,Rural Residential District,Orange,0.005666627939957857
missing,no_key_match,,Randolph,Flood Plain Overlay District,Orange,0.0006189509662634275
missing,no_key_match,,Randolph,Rural Agricultural District,Orange,0.005142977105557837
missing,no_key_match,,Randolph,Interchange Southeast District,Orange,3.321699594676038e-05
missing,no_key_match,,Randolph,Randolph Center Village District,Orange,0.0003514105589465723
missing,no_key_match,,Randolph,Randolph Center Overlay District,Orange,1.9464798216890702e-05
missing,no_key_match,,Randolph,Industrial District,Orange,0.00016791623845515257
missing,no_key_match,,Randolph,Residential District,Orange,0.001549419751951832
missing,no_key_match,,Randolph,Gateway Commercial District,Orange,0.00012039122530671105
missing,no_key_match,,Randolph,Gateway Commercial Retail District,Orange,0.00010902484085647835
missing,no_key_match,,Randolph,Randolph Village High Density District,Orange,0.00031469102104121654
missing,no_key_match,,Randolph,Central Business District,Orange,2.0389044422640053e-05
missing,no_key_match,,Randolph,Randolph Village Medium Density District,Orange,0.00021857958773808048
missing,no_key_match,,Braintree,Rural District Ii,Orange,0.00038318626877182304
missing,no_key_match,,Braintree,Rural Scenic,Orange,0.0016770018906570796
